ID,item_cnt_month
0,2.5
1,2.5
2,2.5
3,2.5
4,2.5
5,2.6
6,2.4
7,2.5
8,2.5
9,2.5
10,2.4
11,2.3
12,2.5
13,2.5
14,2.6
15,2.5
16,2.5
17,2.5
18,2.4
19,2.5
20,2.5
21,2.5
22,2.5
23,2.5
24,2.4
25,2.5
26,2.5
27,2.3
28,2.4
29,3.2
30,2.4
31,2.5
32,2.4
33,2.3
34,3.0
35,2.5
36,2.5
37,2.5
38,2.6
39,2.6
40,2.5
41,2.5
42,2.5
43,2.5
44,2.5
45,2.5
46,2.5
47,2.5
48,2.5
49,2.5
50,2.5
51,2.5
52,2.5
53,2.5
54,2.4
55,2.4
56,2.6
57,2.6
58,2.5
59,2.4
60,2.5
61,2.5
62,2.5
63,2.4
64,2.4
65,2.5
66,2.6
67,2.5
68,2.5
69,2.5
70,2.5
71,2.4
72,2.4
73,2.4
74,2.4
75,2.5
76,2.5
77,2.4
78,2.5
79,2.5
80,2.4
81,2.5
82,2.5
83,2.6
84,2.6
85,2.3
86,2.6
87,2.5
88,2.4
89,2.4
90,2.5
91,2.5
92,2.4
93,2.5
94,2.5
95,2.5
96,2.5
97,2.5
98,2.5
99,2.5
100,2.3
101,2.4
102,2.5
103,2.4
104,2.5
105,2.5
106,2.5
107,2.5
108,2.5
109,2.5
110,2.5
111,2.5
112,2.5
113,2.5
114,2.5
115,2.5
116,3.2
117,2.5
118,2.5
119,2.5
120,2.5
121,2.5
122,2.5
123,2.5
124,2.5
125,2.5
126,2.5
127,3.2
128,2.5
129,2.5
130,2.5
131,3.2
132,2.4
133,2.4
134,2.5
135,2.6
136,2.6
137,2.6
138,2.6
139,2.6
140,3.2
141,3.1
142,2.5
143,3.2
144,2.5
145,2.5
146,2.5
147,2.5
148,2.5
149,2.5
150,2.2
151,3.2
152,2.5
153,2.5
154,2.6
155,3.2
156,2.5
157,2.5
158,2.5
159,3.2
160,3.2
161,2.5
162,2.5
163,2.5
164,3.2
165,2.5
166,3.1
167,2.5
168,2.5
169,2.5
170,2.5
171,3.2
172,2.5
173,2.4
174,2.4
175,2.4
176,2.4
177,3.2
178,2.5
179,3.2
180,3.2
181,3.2
182,2.5
183,2.5
184,2.5
185,3.2
186,2.5
187,2.5
188,2.5
189,2.5
190,2.4
191,3.0
192,2.5
193,2.5
194,2.4
195,2.5
196,2.4
197,2.4
198,2.4
199,2.5
200,2.4
201,2.5
202,2.5
203,2.5
204,2.6
205,2.5
206,2.5
207,2.5
208,2.4
209,2.4
210,2.4
211,3.2
212,2.5
213,2.5
214,2.6
215,2.4
216,2.4
217,2.4
218,2.4
219,2.4
220,2.5
221,2.4
222,2.5
223,2.5
224,2.6
225,2.6
226,2.5
227,2.5
228,2.4
229,2.5
230,2.4
231,2.5
232,2.5
233,2.4
234,3.2
235,2.5
236,2.6
237,2.5
238,2.3
239,2.4
240,2.5
241,2.5
242,2.5
243,2.4
244,2.5
245,2.5
246,2.4
247,2.5
248,2.4
249,2.5
250,2.5
251,2.5
252,2.4
253,2.5
254,2.5
255,2.2
256,2.5
257,2.5
258,2.5
259,2.5
260,2.5
261,2.5
262,2.5
263,2.5
264,2.5
265,2.5
266,2.6
267,2.6
268,2.5
269,3.0
270,2.5
271,3.2
272,2.5
273,3.2
274,2.5
275,3.1
276,2.5
277,2.4
278,2.5
279,2.5
280,2.5
281,2.5
282,2.5
283,2.5
284,2.5
285,2.5
286,2.5
287,2.5
288,2.5
289,2.5
290,2.5
291,2.5
292,2.5
293,2.5
294,2.5
295,2.5
296,2.5
297,2.5
298,3.1
299,2.5
300,3.2
301,2.4
302,2.5
303,2.5
304,2.5
305,3.1
306,3.1
307,2.5
308,2.5
309,3.2
310,2.5
311,3.2
312,2.5
313,3.2
314,2.6
315,2.5
316,2.5
317,3.2
318,2.5
319,2.5
320,2.5
321,2.5
322,2.5
323,2.5
324,2.5
325,2.5
326,3.2
327,2.5
328,2.5
329,2.5
330,2.5
331,2.5
332,2.5
333,2.6
334,3.2
335,2.5
336,2.5
337,2.5
338,2.5
339,2.5
340,2.5
341,2.3
342,3.2
343,3.1
344,2.5
345,2.5
346,2.4
347,2.4
348,2.5
349,3.1
350,2.5
351,2.3
352,2.6
353,2.4
354,2.6
355,2.5
356,2.6
357,2.6
358,2.5
359,2.6
360,2.5
361,2.5
362,2.6
363,2.6
364,2.4
365,2.5
366,3.2
367,3.3
368,2.5
369,2.5
370,2.5
371,2.5
372,2.5
373,2.5
374,2.5
375,2.5
376,2.5
377,2.6
378,2.5
379,2.5
380,2.4
381,2.5
382,2.5
383,3.2
384,3.2
385,3.1
386,3.1
387,2.5
388,2.5
389,2.5
390,2.6
391,2.5
392,2.4
393,2.4
394,2.6
395,2.6
396,2.4
397,2.4
398,2.5
399,2.5
400,2.5
401,2.5
402,2.4
403,2.5
404,2.5
405,2.5
406,2.3
407,2.5
408,2.5
409,2.5
410,2.5
411,2.4
412,2.4
413,2.5
414,2.5
415,2.4
416,2.5
417,2.5
418,2.4
419,2.5
420,2.5
421,2.5
422,2.6
423,2.4
424,2.5
425,2.5
426,2.5
427,2.5
428,2.4
429,2.4
430,2.5
431,2.5
432,2.5
433,2.4
434,2.5
435,2.4
436,2.5
437,2.6
438,2.5
439,2.5
440,2.5
441,2.5
442,2.4
443,2.6
444,2.5
445,2.5
446,2.5
447,2.5
448,2.5
449,2.5
450,2.5
451,2.5
452,2.5
453,2.5
454,2.4
455,2.5
456,2.6
457,2.5
458,2.3
459,2.4
460,2.5
461,3.2
462,3.1
463,3.1
464,3.1
465,3.2
466,2.5
467,3.1
468,3.2
469,3.2
470,2.5
471,2.5
472,2.5
473,2.5
474,3.2
475,3.2
476,2.5
477,2.6
478,2.6
479,3.3
480,2.5
481,2.5
482,2.5
483,2.5
484,2.5
485,2.5
486,2.6
487,2.6
488,2.5
489,2.5
490,2.5
491,2.5
492,2.5
493,2.6
494,2.5
495,2.3
496,2.5
497,2.4
498,2.4
499,2.5
500,2.4
501,2.4
502,2.6
503,2.5
504,2.4
505,2.5
506,2.5
507,2.5
508,2.5
509,2.5
510,2.5
511,2.5
512,2.5
513,2.5
514,2.5
515,2.4
516,2.5
517,2.5
518,2.5
519,2.6
520,2.6
521,2.4
522,2.4
523,2.5
524,2.9
525,2.4
526,2.5
527,2.5
528,3.1
529,2.5
530,2.5
531,2.5
532,2.5
533,2.5
534,2.5
535,2.5
536,2.5
537,2.5
538,2.4
539,2.5
540,2.4
541,2.5
542,2.5
543,2.4
544,2.5
545,2.5
546,2.5
547,2.6
548,2.5
549,2.5
550,2.4
551,2.5
552,2.6
553,3.0
554,2.8
555,2.5
556,2.5
557,2.5
558,2.5
559,2.5
560,2.6
561,2.4
562,2.5
563,2.5
564,2.5
565,2.5
566,2.5
567,2.5
568,2.4
569,2.5
570,2.4
571,2.5
572,2.5
573,2.5
574,2.6
575,3.2
576,2.5
577,2.5
578,2.5
579,2.5
580,2.5
581,2.5
582,2.5
583,2.5
584,2.5
585,2.5
586,2.6
587,2.5
588,2.5
589,2.5
590,2.6
591,2.6
592,2.6
593,2.5
594,2.5
595,3.2
596,3.1
597,2.6
598,2.6
599,3.2
600,2.3
601,2.5
602,2.6
603,2.6
604,2.5
605,2.5
606,2.5
607,2.5
608,2.5
609,2.5
610,2.4
611,2.5
612,2.4
613,2.4
614,2.5
615,2.5
616,2.3
617,2.6
618,2.6
619,2.4
620,2.6
621,2.4
622,2.5
623,2.3
624,2.5
625,2.5
626,2.5
627,2.5
628,2.5
629,2.5
630,2.5
631,2.5
632,2.5
633,2.5
634,2.5
635,2.3
636,2.5
637,2.5
638,2.5
639,2.5
640,2.5
641,2.5
642,2.5
643,2.5
644,2.5
645,2.5
646,2.5
647,2.5
648,2.5
649,2.5
650,2.5
651,2.5
652,2.6
653,2.5
654,2.4
655,2.5
656,2.5
657,2.5
658,2.5
659,2.4
660,3.2
661,2.5
662,2.5
663,2.4
664,2.4
665,2.4
666,2.5
667,2.5
668,3.2
669,2.5
670,2.5
671,2.5
672,2.6
673,2.6
674,2.5
675,2.5
676,2.5
677,2.5
678,2.4
679,2.5
680,2.5
681,2.6
682,2.4
683,2.4
684,3.2
685,3.2
686,2.5
687,2.4
688,3.2
689,2.5
690,2.5
691,2.5
692,3.2
693,3.2
694,2.5
695,2.5
696,2.6
697,2.6
698,2.6
699,2.6
700,2.6
701,2.6
702,2.6
703,2.6
704,2.6
705,2.5
706,2.5
707,2.5
708,2.5
709,2.5
710,2.5
711,2.5
712,3.2
713,3.2
714,2.6
715,2.5
716,2.5
717,2.5
718,2.5
719,2.5
720,2.5
721,3.2
722,2.5
723,2.4
724,2.5
725,3.2
726,2.6
727,2.6
728,2.6
729,2.6
730,2.5
731,2.5
732,2.4
733,3.2
734,2.5
735,2.6
736,3.3
737,2.6
738,2.6
739,2.5
740,3.3
741,2.6
742,3.3
743,2.6
744,2.6
745,2.6
746,2.6
747,2.6
748,2.6
749,2.5
750,2.5
751,2.5
752,3.2
753,3.1
754,2.4
755,3.2
756,2.5
757,2.5
758,2.5
759,2.5
760,2.5
761,2.6
762,2.5
763,3.2
764,2.5
765,3.1
766,2.4
767,2.4
768,3.2
769,2.5
770,3.1
771,3.2
772,2.6
773,2.6
774,2.6
775,2.6
776,2.6
777,2.6
778,2.6
779,2.6
780,2.6
781,2.6
782,2.6
783,2.6
784,2.6
