ID,item_cnt_month
0,1.9
1,1.3
2,1.9
3,1.8
4,1.9
5,1.6
6,4.2
7,1.3
8,1.3
9,1.6
10,2.1
11,5.2
12,1.3
13,1.6
14,2.0
15,2.7
16,1.6
17,1.3
18,3.8
19,4.9
20,1.4
21,1.7
22,3.3
23,1.6
24,2.2
25,1.5
26,2.0
27,1.8
28,2.0
29,2.3
30,2.3
31,2.2
32,2.3
33,2.3
34,2.0
35,2.0
36,2.0
37,2.2
38,1.5
39,1.5
40,2.0
41,2.9
42,3.1
43,3.6
44,2.8
45,2.8
46,2.3
47,2.2
48,2.2
49,2.2
50,2.2
51,2.0
52,1.3
53,2.2
54,4.8
55,8.2
56,2.8
57,2.1
58,6.8
59,12.9
60,5.2
61,1.8
62,1.8
63,1.7
64,1.8
65,1.2
66,1.8
67,1.8
68,2.2
69,1.7
70,1.2
71,2.3
72,1.6
73,2.3
74,2.0
75,1.6
76,1.3
77,2.8
78,1.8
79,1.7
80,2.1
81,2.1
82,2.4
83,1.7
84,2.0
85,1.8
86,1.8
87,1.3
88,1.8
89,1.8
90,1.6
91,1.6
92,2.4
93,1.6
94,6.6
95,1.3
96,1.4
97,2.1
98,1.6
99,2.6
100,4.8
101,3.1
102,1.6
103,2.3
104,1.6
105,1.2
106,1.2
107,2.2
108,1.3
109,1.3
110,2.0
111,1.7
112,1.7
113,2.0
114,1.8
115,1.7
116,1.6
117,1.3
118,1.8
119,1.8
120,1.8
121,1.8
122,1.8
123,1.8
124,1.8
125,1.8
126,1.8
127,1.7
128,1.2
129,1.3
130,1.6
131,1.6
132,1.7
133,2.3
134,1.8
135,2.2
136,2.2
137,2.2
138,2.2
139,2.2
140,1.7
141,1.2
142,1.2
143,1.8
144,2.9
145,3.1
146,3.1
147,1.2
148,1.2
149,1.6
150,1.4
151,1.6
152,2.1
153,1.2
154,1.4
155,1.7
156,1.2
157,1.4
158,1.2
159,1.8
160,1.6
161,1.2
162,1.2
163,1.6
164,1.8
165,1.2
166,1.2
167,1.2
168,1.2
169,1.2
170,1.2
171,1.8
172,1.4
173,3.5
174,3.4
175,4.5
176,1.9
177,1.6
178,1.3
179,1.7
180,1.8
181,1.8
182,1.2
183,1.2
184,1.2
185,1.6
186,1.2
187,1.2
188,1.2
189,1.2
190,1.6
191,2.4
192,1.3
193,2.0
194,1.3
195,1.9
196,2.7
197,4.2
198,2.1
199,1.8
200,2.4
201,1.8
202,1.5
203,2.1
204,1.5
205,1.6
206,1.6
207,1.6
208,1.8
209,1.6
210,1.4
211,1.3
212,1.3
213,1.3
214,1.5
215,1.7
216,1.7
217,1.7
218,3.7
219,1.8
220,2.1
221,2.8
222,1.6
223,1.6
224,2.0
225,2.0
226,1.6
227,1.7
228,1.5
229,1.2
230,2.1
231,2.1
232,2.0
233,1.5
234,2.2
235,2.0
236,2.0
237,2.5
238,2.0
239,2.4
240,1.2
241,1.3
242,2.2
243,1.8
244,1.2
245,1.3
246,1.8
247,1.8
248,1.7
249,1.7
250,1.9
251,1.6
252,2.3
253,2.6
254,1.8
255,5.7
256,1.2
257,1.2
258,1.6
259,1.2
260,1.5
261,1.2
262,1.2
263,1.8
